Date_UT,RA,Dec,Magn,Location,Ref
2025-09-15.378449,02 48 26.656,-04 14 06.78,20.74,I41,UES045
2025-09-15.422793,02 48 45.069,-04 20 17.52,21.00,I41,UES045
2025-09-15.541162,02 49 37.002,-04 36 32.92,20.54,F52,XES045
2025-09-15.553495,02 49 42.032,-04 38 15.53,20.36,F52,XES045
2025-09-15.565869,02 49 47.114,-04 39 59.09,20.39,F52,XES045
2025-09-15.578236,02 49 52.149,-04 41 41.98,20.50,F52,XES045
2025-09-15.629894,02 50 13.262,-04 48 51.82,20.25,F51,VES045
2025-09-15.630711,02 50 13.599,-04 48 58.67,20.31,F51,VES045
2025-09-15.98560,02 52 51.66,-05 38 22.9,20.2,M45,XES045
2025-09-15.99094,02 52 53.84,-05 39 06.5,20.4,M45,XES045
2025-09-15.99610,02 52 56.01,-05 39 48.5,20.2,M45,XES045
2025-09-16.223720,02 54 35.300,-06 09 23.00,20.8,807,VES045
2025-09-16.234160,02 54 39.590,-06 10 48.60,20.4,807,VES045
2025-09-16.244610,02 54 43.840,-06 12 14.30,20.5,807,VES045
2025-09-16.326648,02 55 17.97,-06 24 49.2,20.4,H21,VES045
2025-09-16.335037,02 55 21.33,-06 25 57.6,20.7,H21,VES045
2025-09-17.205840,03 01 29.920,-08 20 50.40,20.4,807,VES045
2025-09-17.213679,03 01 33.020,-08 21 52.50,20.9,807,VES045
2025-09-17.221510,03 01 36.090,-08 22 54.30,20.7,807,VES045
